#Mass	 #Pos	 #RadialVel	 #TransVel	 #Potential
   0.0010	    0.5072	   -0.1940	   -0.2899	   -0.0113
   0.0010	    0.5074	   -0.2217	    0.1471	   -0.0113
   0.0010	    0.5119	    0.1997	   -0.8135	   -0.0065
   0.0010	    0.5125	    0.0779	    0.6401	   -0.0066
   0.0010	    0.5146	   -0.1025	   -0.9255	   -0.0054
   0.0010	    0.5183	    0.2205	    0.6438	   -0.0054
   0.0010	    0.5206	    0.0606	   -0.5992	   -0.0059
   0.0010	    0.5224	   -0.9651	   -0.3346	   -0.0071
   0.0010	    0.5230	   -0.6910	    0.3361	   -0.0072
   0.0010	    0.5243	   -0.0557	    0.3480	   -0.0060
   0.0010	    0.5309	    0.3053	   -0.8555	   -0.0055
   0.0010	    0.5330	    0.3122	    0.4662	   -0.0061
   0.0010	    0.5347	    0.1139	    0.4836	   -0.0084
   0.0010	    0.5351	    0.5766	   -0.8111	   -0.0083
   0.0010	    0.5381	    0.3368	    0.2864	   -0.0063
   0.0010	    0.5399	    0.6536	    0.4281	   -0.0073
   0.0010	    0.5406	    0.2384	    0.4310	   -0.0074
   0.0010	    0.5427	   -0.3534	   -0.4816	   -0.0082
   0.0010	    0.5433	    0.2411	    0.7442	   -0.0086
   0.0010	    0.5441	   -0.3901	   -0.4025	   -0.0075
   0.0010	    0.5456	   -0.0844	    0.3962	   -0.0063
   0.0010	    0.5492	    0.4420	    0.3012	   -0.0052
   0.0010	    0.5551	    0.0308	   -0.4307	   -0.0058
   0.0010	    0.5567	    0.0406	   -0.2586	   -0.0076
   0.0010	    0.5571	   -0.1649	    0.5050	   -0.0075
   0.0010	    0.5613	   -0.1330	    0.4865	   -0.0060
   0.0010	    0.5627	    0.3251	   -0.5614	   -0.0063
   0.0010	    0.5646	    0.2437	    0.2669	   -0.0077
   0.0010	    0.5650	   -0.1874	   -0.5419	   -0.0076
   0.0010	    0.5675	   -0.2082	   -0.4117	   -0.0055
   0.0010	    0.5719	    0.5822	    0.1295	   -0.0053
   0.0010	    0.5739	    0.6081	   -0.3434	   -0.0053
   0.0010	    0.5772	    0.0080	   -0.9933	   -0.0052
   0.0010	    0.5792	    0.7737	    0.5879	   -0.0051
   0.0010	    0.5890	    0.0168	   -0.4142	   -0.0051
   0.0010	    0.5938	    0.1718	   -0.5869	   -0.0067
   0.0010	    0.5950	    0.6070	   -0.2330	   -0.0076
   0.0010	    0.5962	    0.3831	   -0.5777	   -0.0089
   0.0010	    0.5969	    0.4836	   -1.0248	   -0.0099
